"Rank"	"CCDS_ID"	"GENE_NAME"	"CHR"	"DESCRIPTION"	"N_SPECIES"	"PVAL"	"QVAL"	"FST"	"dNdS_REF"
"7572"	"CCDS6577.1"	"STOML2"	"chr9"	"stomatin (EPB72)-like 2"	"7"	1	0.987	0.0469	0	NA
"7573"	"CCDS41564.1"	"NFKB2"	"chr10"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)"	"4"	1	0.987	0.0305	0	NA
"7574"	"CCDS12370.1"	"ARRDC2"	"chr19"	"arrestin domain containing 2"	"5"	1	0.987	0.114	0	NA
"7575"	"CCDS11830.1"	"MRCL3"	"chr18"	"myosin regulatory light chain MRCL3"	"7"	1	0.987	0	0	NA
"7576"	"CCDS4541.1"	"NUP153"	"chr6"	"nucleoporin 153kDa"	"7"	1	0.987	0.105	0	NA
"7577"	"CCDS41580.1"	"GPR123"	"chr10"	"G protein-coupled receptor 123"	"4"	1	0.987	0.0658	0	NA
"7578"	"CCDS256.1"	"CLIC4"	"chr1"	"chloride intracellular channel 4"	"7"	1	0.987	0	0	NA
"7579"	"CCDS288.1"	"SFN"	"chr1"	"stratifin"	"6"	1	0.987	0.273	0	NA
"7580"	"CCDS5240.1"	"VIP"	"chr6"	"vasoactive intestinal peptide"	"6"	1	0.987	0	0	NA
"7581"	"CCDS11667.1"	"CACNG4"	"chr17"	"\calcium channel, voltage-dependent, gamma subunit 4\"	"7"	1	0.987	0.0377	0	NA
"7582"	"CCDS1659.1"	"ID2"	"chr2"	"\inhibitor of DNA binding 2, dominant negative helix-loop-helix protein\"	"5"	1	0.987	0.0501	0	NA
"7583"	"CCDS13063.2"	"SPEF1"	"chr20"	"sperm flagellar 1"	"4"	1	0.987	0.0208	0	NA
"7584"	"CCDS1412.1"	"PHLDA3"	"chr1"	"\pleckstrin homology-like domain, family A, member 3\"	"6"	1	0.987	0.0438	0	NA
"7585"	"CCDS4884.1"	"PTK7"	"chr6"	"PTK7 protein tyrosine kinase 7"	"7"	1	0.987	0.141	0	NA
"7586"	"CCDS5901.1"	"LRRC61"	"chr7"	"leucine rich repeat containing 61"	"6"	1	0.987	0.074	0	NA
"7587"	"CCDS2025.1"	"CNNM3"	"chr2"	"cyclin M3"	"6"	1	0.987	0.207	0	NA
"7588"	"CCDS1306.1"	"TNFSF4"	"chr1"	"\tumor necrosis factor (ligand) superfamily, member 4\"	"7"	1	0.987	0	0	NA
"7589"	"CCDS1712.1"	"NCOA1"	"chr2"	"nuclear receptor coactivator 1"	"7"	1	0.987	0.0532	0	NA
"7590"	"CCDS1553.1"	"LIN9"	"chr1"	"lin-9 homolog (C. elegans)"	"5"	1	0.987	0	0	NA
"7591"	"CCDS10073.1"	"CHP"	"chr15"	"calcium binding protein P22"	"7"	1	0.987	0	0	NA
"7592"	"CCDS13940.1"	"KCTD17"	"chr22"	"potassium channel tetramerisation domain containing 17"	"6"	1	0.987	0	0	NA
"7593"	"CCDS31353.1"	"OR52M1"	"chr11"	"\olfactory receptor, family 52, subfamily M, member 1\"	"5"	1	0.987	0.0269	0	NA
"7594"	"CCDS280.1"	"LIN28"	"chr1"	"lin-28 homolog (C. elegans)"	"6"	1	0.987	0.305	0	NA
"7595"	"CCDS34104.1"	"GALNT17"	"chr4"	"polypeptide N-acetylgalactosaminyltransferase 17"	"7"	1	0.987	0	0	NA
"7596"	"CCDS5175.1"	"PDE7B"	"chr6"	"phosphodiesterase 7B"	"7"	1	0.987	0.0535	0	NA
"7597"	"CCDS8206.2"	"IL18BP"	"chr11"	"interleukin 18 binding protein"	"3"	1	0.987	0.139	0	NA
"7598"	"CCDS4866.1"	"MRPS10"	"chr6"	"mitochondrial ribosomal protein S10"	"6"	1	0.987	0.574	0	NA
"7599"	"CCDS2111.1"	"IL1F5"	"chr2"	"\interleukin 1 family, member 5 (delta)\"	"7"	1	0.987	0.0315	0	NA
"7600"	"CCDS9867.1"	"SNW1"	"chr14"	"SNW domain containing 1"	"7"	1	0.987	0.109	0	NA
"7601"	"CCDS9480.1"	"UGCGL2"	"chr13"	"UDP-glucose ceramide glucosyltransferase-like 2"	"3"	1	0.987	0	0	NA
"7602"	"CCDS3111.1"	"NMNAT3"	"chr3"	"nicotinamide nucleotide adenylyltransferase 3"	"3"	1	0.987	0.0535	0	NA
"7603"	"CCDS1527.1"	"HLX"	"chr1"	"H2.0-like homeobox"	"4"	1	0.987	0.225	0	NA
"7604"	"CCDS12391.1"	"HOMER3"	"chr19"	"homer homolog 3 (Drosophila)"	"6"	1	0.987	0.112	0	NA
"7605"	"CCDS41872.1"	"XPO4"	"chr13"	"exportin 4"	"4"	1	0.987	0.0438	0	NA
"7606"	"CCDS7649.1"	"BCCIP"	"chr10"	"BRCA2 and CDKN1A interacting protein"	"5"	1	0.987	0.072	0	NA
"7607"	"CCDS5292.1"	"SFT2D1"	"chr6"	"SFT2 domain containing 1"	"7"	1	0.987	0.386	0	NA
"7608"	"CCDS12503.1"	"ZNF569"	"chr19"	"zinc finger protein 569"	"5"	1	0.987	0.0764	0	NA
"7609"	"CCDS3664.1"	"TACR3"	"chr4"	"tachykinin receptor 3"	"7"	1	0.987	0	0	NA
"7610"	"CCDS7455.1"	"FRAT1"	"chr10"	"frequently rearranged in advanced T-cell lymphomas"	"3"	1	0.987	0	0	NA
"7611"	"CCDS41855.1"	"OGFOD2"	"chr12"	"2-oxoglutarate and iron-dependent oxygenase domain containing 2"	"4"	1	0.987	0.207	0	NA
"7612"	"CCDS4604.1"	"HIST1H4H"	"chr6"	"\histone cluster 1, H4h\"	"7"	1	0.987	0.0259	0	NA
"7613"	"CCDS683.1"	"FUBP1"	"chr1"	"far upstream element (FUSE) binding protein 1"	"6"	1	0.987	0.127	0	NA
"7614"	"CCDS13384.1"	"NEURL2"	"chr20"	"neuralized homolog 2 (Drosophila)"	"6"	1	0.987	0.104	0	NA
"7615"	"CCDS10063.1"	"FAM82A2"	"chr15"	"\family with sequence similarity 82, member A2\"	"5"	1	0.987	0.0738	0	NA
"7616"	"CCDS12306.1"	"ASF1B"	"chr19"	"ASF1 anti-silencing function 1 homolog B (S. cerevisiae)"	"7"	1	0.987	0	0	NA
"7617"	"CCDS2802.1"	"GMPPB"	"chr3"	"GDP-mannose pyrophosphorylase B"	"7"	1	0.987	0	0	NA
"7618"	"CCDS31587.1"	"SLC3A2"	"chr11"	"\solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2\"	"6"	1	0.987	0.0243	0	NA
"7619"	"CCDS30895.1"	"OR10T2"	"chr1"	"\olfactory receptor, family 10, subfamily T, member 2\"	"3"	1	0.987	0.0111	0	NA
"7620"	"CCDS10824.1"	"RRAD"	"chr16"	"Ras-related associated with diabetes"	"7"	1	0.987	0.0975	0	NA
"7621"	"CCDS42270.1"	"TOM1L2"	"chr17"	"target of myb1-like 2 (chicken)"	"7"	1	0.987	0	0	NA
"7622"	"CCDS5361.1"	"ANKMY2"	"chr7"	"ankyrin repeat and MYND domain containing 2"	"7"	1	0.987	0	0	NA
"7623"	"CCDS133.1"	"FBXO6"	"chr1"	"F-box protein 6"	"7"	1	0.987	0.146	0	NA
"7624"	"CCDS8424.1"	"THY1"	"chr11"	"Thy-1 cell surface antigen"	"7"	1	0.987	0.0918	0	NA
"7625"	"CCDS2983.1"	"IGSF11"	"chr3"	"\immunoglobulin superfamily, member 11\"	"7"	1	0.987	0.0633	0	NA
"7626"	"CCDS2200.1"	"KCNJ3"	"chr2"	"\potassium inwardly-rectifying channel, subfamily J, member 3\"	"6"	1	0.987	0	0	NA
"7627"	"CCDS10040.1"	"GJD2"	"chr15"	"\gap junction protein, delta 2, 36kDa\"	"7"	1	0.987	0	0	NA
"7628"	"CCDS11671.1"	"NOL11"	"chr17"	"nucleolar protein 11"	"5"	1	0.987	0	0	NA
"7629"	"CCDS8985.1"	"NUP107"	"chr12"	"nucleoporin 107kDa"	"7"	1	0.987	0.0176	0	NA
"7630"	"CCDS13239.1"	"PIGU"	"chr20"	"\phosphatidylinositol glycan anchor biosynthesis, class U\"	"7"	1	0.987	0.0535	0	NA
"7631"	"CCDS1537.1"	"C1orf65"	"chr1"	"chromosome 1 open reading frame 65"	"7"	1	0.987	0.0901	0	NA
"7632"	"CCDS9817.1"	"ACOT4"	"chr14"	"acyl-CoA thioesterase 4"	"6"	1	0.987	0.0155	0	NA
"7633"	"CCDS35082.1"	"TXNDC4"	"chr9"	"thioredoxin domain containing 4 (endoplasmic reticulum)"	"7"	1	0.987	0	0	NA
"7634"	"CCDS4382.1"	"RPL26L1"	"chr5"	"ribosomal protein L26-like 1"	"6"	1	0.987	0	0	NA
"7635"	"CCDS1552.1"	"MIXL1"	"chr1"	"Mix1 homeobox-like 1 (Xenopus laevis)"	"4"	1	0.987	0.00495	0	NA
"7636"	"CCDS3231.1"	"ACTL6A"	"chr3"	"actin-like 6A"	"7"	1	0.987	0.0289	0	NA
"7637"	"CCDS33497.1"	"RAB22A"	"chr20"	"\RAB22A, member RAS oncogene family\"	"7"	1	0.987	0	0	NA
"7638"	"CCDS800.1"	"CYB561D1"	"chr1"	"cytochrome b-561 domain containing 1"	"7"	1	0.987	0	0	NA
"7639"	"CCDS4523.1"	"TBC1D7"	"chr6"	"\TBC1 domain family, member 7\"	"7"	1	0.987	0.204	0	NA
"7640"	"CCDS43791.1"	"PTPLAD2"	"chr9"	"protein tyrosine phosphatase-like A domain containing 2"	"4"	1	0.987	0.0531	0	NA
"7641"	"CCDS34217.1"	"SNX2"	"chr5"	"sorting nexin 2"	"7"	1	0.987	0	0	NA
"7642"	"CCDS2279.1"	"PRKRA"	"chr2"	"\protein kinase, interferon-inducible double stranded RNA dependent activator\"	"6"	1	0.987	0.0758	0	NA
"7643"	"CCDS5167.1"	"TCF21"	"chr6"	"transcription factor 21"	"6"	1	0.987	0.363	0	NA
"7644"	"CCDS7098.1"	"SEPHS1"	"chr10"	"selenophosphate synthetase 1"	"6"	1	0.987	0	0	NA
"7645"	"CCDS13468.1"	"STX16"	"chr20"	"syntaxin 16"	"7"	1	0.987	0.0804	0	NA
"7646"	"CCDS4550.1"	"DCDC2"	"chr6"	"doublecortin domain containing 2"	"7"	1	0.987	0	0	NA
"7647"	"CCDS4505.1"	"TXNDC5"	"chr6"	"thioredoxin domain containing 5"	"7"	1	0.987	0.0758	0	NA
"7648"	"CCDS6483.1"	"SH3GL2"	"chr9"	"SH3-domain GRB2-like 2"	"6"	1	0.987	0	0	NA
"7649"	"CCDS34796.1"	"AGPAT5"	"chr8"	"\1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)\"	"7"	1	0.987	0.115	0	NA
"7650"	"CCDS1152.1"	"CRABP2"	"chr1"	"cellular retinoic acid binding protein 2"	"7"	1	0.987	0.0526	0	NA
"7651"	"CCDS1511.1"	"VASH2"	"chr1"	"vasohibin 2"	"7"	1	0.987	0	0	NA
"7652"	"CCDS9588.1"	"C14orf119"	"chr14"	"chromosome 14 open reading frame 119"	"7"	1	0.987	0.0203	0	NA
"7653"	"CCDS12722.1"	"CYTH2"	"chr19"	"cytohesin 2"	"7"	1	0.987	0.0602	0	NA
"7654"	"CCDS43177.1"	"AP2M1"	"chr3"	"\adaptor-related protein complex 2, mu 1 subunit\"	"4"	1	0.987	0.02	0	NA
"7655"	"CCDS9514.1"	"CARS2"	"chr13"	"\cysteinyl-tRNA synthetase 2, mitochondrial (putative)\"	"7"	1	0.987	0	0	NA
"7656"	"CCDS8208.1"	"LRRC51"	"chr11"	"leucine rich repeat containing 51"	"6"	1	0.987	0.0308	0	NA
"7657"	"CCDS35342.1"	"HDX"	"chrX"	"highly divergent homeobox"	"6"	1	0.987	NA	0	NA
"7658"	"CCDS14122.1"	"ARSE"	"chrX"	"arylsulfatase E (chondrodysplasia punctata 1)"	"6"	1	0.987	NA	0	NA
"7659"	"CCDS9966.1"	"DYNC1H1"	"chr14"	"\dynein, cytoplasmic 1, heavy chain 1\"	"7"	1	0.987	0.131	0	NA
"7660"	"CCDS5693.1"	"MEPCE"	"chr7"	"methylphosphate capping enzyme"	"6"	1	0.987	0.0834	0	NA
"7661"	"CCDS9901.1"	"NDUFB1"	"chr14"	"\NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa\"	"4"	1	0.987	0.0159	0	NA
"7662"	"CCDS1720.1"	"RAB10"	"chr2"	"\RAB10, member RAS oncogene family\"	"7"	1	0.987	0.363	0	NA
"7663"	"CCDS34602.1"	"ICA1"	"chr7"	"\islet cell autoantigen 1, 69kDa\"	"7"	1	0.987	0	0	NA
"7664"	"CCDS5349.1"	"RAC1"	"chr7"	"\ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)\"	"7"	1	0.987	0	0	NA
"7665"	"CCDS33173.1"	"LBH"	"chr2"	"limb bud and heart development homolog (mouse)"	"7"	1	0.987	NA	0	NA
"7666"	"CCDS3210.1"	"SEC62"	"chr3"	"SEC62 homolog (S. cerevisiae)"	"7"	1	0.987	0.0365	0	NA
"7667"	"CCDS4406.1"	"SNCB"	"chr5"	"\synuclein, beta\"	"7"	1	0.987	0.0821	0	NA
"7668"	"CCDS6748.1"	"TEX10"	"chr9"	"testis expressed 10"	"7"	1	0.987	0.0812	0	NA
"7669"	"CCDS5254.1"	"SYNJ2"	"chr6"	"synaptojanin 2"	"6"	1	0.987	0	0	NA
"7670"	"CCDS820.1"	"UBL4B"	"chr1"	"ubiquitin-like 4B"	"5"	1	0.987	0	0	NA
"7671"	"CCDS36.1"	"GABRD"	"chr1"	"\gamma-aminobutyric acid (GABA) A receptor, delta\"	"6"	1	0.987	0.232	0	NA
"7672"	"CCDS43837.1"	"TLE4"	"chr9"	"\transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)\"	"4"	1	0.987	0.0535	0	NA
"7673"	"CCDS6047.1"	"DOCK5"	"chr8"	"dedicator of cytokinesis 5"	"6"	1	0.987	0.0087	0	NA
"7674"	"CCDS30996.1"	"IKBKE"	"chr1"	"\inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon\"	"7"	1	0.987	0.0777	0	NA
"7675"	"CCDS2771.1"	"PFKFB4"	"chr3"	"\6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4\"	"6"	1	0.987	0.0538	0	NA
"7676"	"CCDS8775.1"	"WNT10B"	"chr12"	"\wingless-type MMTV integration site family, member 10B\"	"7"	1	0.987	0.0939	0	NA
"7677"	"CCDS7880.1"	"EIF3M"	"chr11"	"\eukaryotic translation initiation factor 3, subunit M\"	"7"	1	0.987	0	0	NA
"7678"	"CCDS103.1"	"SLC25A33"	"chr1"	"\solute carrier family 25, member 33\"	"7"	1	0.987	0.0503	0	NA
"7679"	"CCDS1148.1"	"HAPLN2"	"chr1"	"hyaluronan and proteoglycan link protein 2"	"4"	1	0.987	0.0589	0	NA
"7680"	"CCDS13517.1"	"CHRNA4"	"chr20"	"\cholinergic receptor, nicotinic, alpha 4\"	"6"	1	0.987	0.147	0	NA
"7681"	"CCDS34931.1"	"GRHL2"	"chr8"	"grainyhead-like 2 (Drosophila)"	"7"	1	0.987	0	0	NA
"7682"	"CCDS31878.1"	"FGD6"	"chr12"	"\FYVE, RhoGEF and PH domain containing 6\"	"6"	1	0.987	0	0	NA
"7683"	"CCDS6993.1"	"BTBD14A"	"chr9"	"BTB (POZ) domain containing 14A"	"4"	1	0.987	0.119	0	NA
"7684"	"CCDS13325.1"	"JPH2"	"chr20"	"junctophilin 2"	"4"	1	0.987	0	0	NA
"7685"	"CCDS7421.1"	"IDE"	"chr10"	"insulin-degrading enzyme"	"7"	1	0.987	0	0	NA
"7686"	"CCDS990.1"	"PIP5K1A"	"chr1"	"\phosphatidylinositol-4-phosphate 5-kinase, type I, alpha\"	"7"	1	0.987	0.0352	0	NA
"7687"	"CCDS8977.1"	"CAND1"	"chr12"	"cullin-associated and neddylation-dissociated 1"	"7"	1	0.987	0.283	0	NA
"7688"	"CCDS3441.1"	"ARAP2"	"chr4"	"\ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2\"	"5"	1	0.987	0	0	NA
"7689"	"CCDS34142.1"	"RAI14"	"chr5"	"retinoic acid induced 14"	"7"	1	0.987	0.284	0	NA
"7690"	"CCDS10945.1"	"KCNG4"	"chr16"	"\potassium voltage-gated channel, subfamily G, member 4\"	"5"	1	0.987	0.0133	0	NA
"7691"	"CCDS9173.1"	"TBX5"	"chr12"	"T-box 5"	"7"	1	0.987	0	0	NA
"7692"	"CCDS2310.1"	"STAT4"	"chr2"	"signal transducer and activator of transcription 4"	"7"	1	0.987	0	0	NA
"7693"	"CCDS818.1"	"AHCYL1"	"chr1"	"S-adenosylhomocysteine hydrolase-like 1"	"7"	1	0.987	0.0535	0	NA
"7694"	"CCDS41246.1"	"CASZ1"	"chr1"	"castor zinc finger 1"	"4"	1	0.987	0.063	0	NA
"7695"	"CCDS773.1"	"VCAM1"	"chr1"	"vascular cell adhesion molecule 1"	"5"	1	0.987	0.21	0	NA
"7696"	"CCDS10121.1"	"SLC28A2"	"chr15"	"\solute carrier family 28 (sodium-coupled nucleoside transporter), member 2\"	"7"	1	0.987	0.598	0	NA
"7697"	"CCDS41298.1"	"KIAA1522"	"chr1"	"KIAA1522"	"3"	1	0.987	0.066	0	NA
"7698"	"CCDS10497.1"	"ZNF200"	"chr16"	"zinc finger protein 200"	"7"	1	0.987	0.0149	0	NA
"7699"	"CCDS2902.1"	"PRICKLE2"	"chr3"	"prickle homolog 2 (Drosophila)"	"7"	1	0.987	0	0	NA
"7700"	"CCDS6057.1"	"PTK2B"	"chr8"	"PTK2B protein tyrosine kinase 2 beta"	"7"	1	0.987	0	0	NA
"7701"	"CCDS12347.1"	"MED26"	"chr19"	"mediator complex subunit 26"	"7"	1	0.987	0.0397	0	NA
"7702"	"CCDS1700.1"	"HS1BP3"	"chr2"	"HCLS1 binding protein 3"	"7"	1	0.987	0.133	0	NA
"7703"	"CCDS5449.1"	"ELMO1"	"chr7"	"engulfment and cell motility 1"	"6"	1	0.987	0.0438	0	NA
"7704"	"CCDS5794.1"	"GRM8"	"chr7"	"\glutamate receptor, metabotropic 8\"	"6"	1	0.987	0.0535	0	NA
"7705"	"CCDS1437.1"	"BTG2"	"chr1"	"\BTG family, member 2\"	"7"	1	0.987	0.193	0	NA
"7706"	"CCDS10280.1"	"PTPN9"	"chr15"	"\protein tyrosine phosphatase, non-receptor type 9\"	"6"	1	0.987	0	0	NA
"7707"	"CCDS2249.1"	"ITGA6"	"chr2"	"\integrin, alpha 6\"	"7"	1	0.987	0.0147	0	NA
"7708"	"CCDS31062.1"	"LYST"	"chr1"	"lysosomal trafficking regulator"	"5"	1	0.987	0.0624	0	NA
"7709"	"CCDS8382.1"	"PCSK7"	"chr11"	"proprotein convertase subtilisin/kexin type 7"	"6"	1	0.987	0.0172	0	NA
"7710"	"CCDS1066.1"	"ATP8B2"	"chr1"	"\ATPase, class I, type 8B, member 2\"	"6"	1	0.987	0.01	0	NA
"7711"	"CCDS33875.1"	"HLTF"	"chr3"	"helicase-like transcription factor"	"5"	1	0.987	0	0	NA
"7712"	"CCDS5455.1"	"STARD3NL"	"chr7"	"STARD3 N-terminal like"	"7"	1	0.987	0	0	NA
"7713"	"CCDS33416.1"	"ASB1"	"chr2"	"ankyrin repeat and SOCS box-containing 1"	"7"	1	0.987	0.133	0	NA
"7714"	"CCDS35453.1"	"FAM3A"	"chrX"	"\family with sequence similarity 3, member A\"	"6"	1	0.987	NA	0	NA
"7715"	"CCDS14268.1"	"CHST7"	"chrX"	"carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7"	"3"	1	0.987	NA	0	NA
"7716"	"CCDS8414.1"	"MIZF"	"chr11"	"MBD2-interacting zinc finger"	"7"	1	0.987	0.0798	0	NA
"7717"	"CCDS1770.1"	"CLIP4"	"chr2"	"\CAP-GLY domain containing linker protein family, member 4\"	"7"	1	0.987	0.0474	0	NA
"7718"	"CCDS4073.1"	"ARSK"	"chr5"	"\arylsulfatase family, member K\"	"5"	1	0.987	0.163	0	NA
"7719"	"CCDS4432.1"	"NOLA2"	"chr5"	"\nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)\"	"6"	1	0.987	0.048	0	NA
"7720"	"CCDS12357.1"	"DDA1"	"chr19"	"DET1 and DDB1 associated 1"	"6"	1	0.987	0.0398	0	NA
"7721"	"CCDS35160.1"	"METTL11A"	"chr9"	"methyltransferase like 11A"	"7"	1	0.987	0	0	NA
"7722"	"CCDS9925.1"	"SERPINA1"	"chr14"	"\serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1\"	"6"	1	0.987	0.121	0	NA
"7723"	"CCDS6913.1"	"C9orf114"	"chr9"	"chromosome 9 open reading frame 114"	"7"	1	0.987	0.228	0	NA
"7724"	"CCDS429.1"	"UTP11L"	"chr1"	"\UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)\"	"7"	1	0.987	0.0418	0	NA
"7725"	"CCDS9769.1"	"FNTB"	"chr14"	"\farnesyltransferase, CAAX box, beta\"	"7"	1	0.987	0	0	NA
"7726"	"CCDS33688.1"	"LMCD1"	"chr3"	"LIM and cysteine-rich domains 1"	"7"	1	0.987	0	0	NA
"7727"	"CCDS3972.1"	"C5orf35"	"chr5"	"chromosome 5 open reading frame 35"	"5"	1	0.987	0.101	0	NA
"7728"	"CCDS8803.1"	"ATF1"	"chr12"	"activating transcription factor 1"	"7"	1	0.987	0	0	NA
"7729"	"CCDS6712.1"	"FBP1"	"chr9"	"\fructose-1,6-bisphosphatase 1\"	"7"	1	0.987	0	0	NA
"7730"	"CCDS41774.1"	"SLC38A1"	"chr12"	"\solute carrier family 38, member 1\"	"4"	1	0.987	0	0	NA
"7731"	"CCDS3450.1"	"RFC1"	"chr4"	"\replication factor C (activator 1) 1, 145kDa\"	"7"	1	0.987	0.0232	0	NA
"7732"	"CCDS2599.1"	"SEC13"	"chr3"	"SEC13 homolog (S. cerevisiae)"	"7"	1	0.987	0.0307	0	NA
"7733"	"CCDS3317.1"	"RNF168"	"chr3"	"ring finger protein 168"	"4"	1	0.987	0.0196	0	NA
"7734"	"CCDS4762.1"	"BRD2"	"chr6"	"bromodomain containing 2"	"6"	1	0.987	0.0464	0	NA
"7735"	"CCDS41800.1"	"DTX3"	"chr12"	"deltex 3 homolog (Drosophila)"	"4"	1	0.987	0.168	0	NA
"7736"	"CCDS7807.1"	"GALNTL4"	"chr11"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4"	"7"	1	0.987	0	0	NA
"7737"	"CCDS6669.1"	"RMI1"	"chr9"	"\RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)\"	"5"	1	0.987	0.457	0	NA
"7738"	"CCDS10679.1"	"ZNF553"	"chr16"	"zinc finger protein 553"	"7"	1	0.987	0.198	0	NA
"7739"	"CCDS6049.1"	"CDCA2"	"chr8"	"cell division cycle associated 2"	"4"	1	0.987	0.0087	0	NA
"7740"	"CCDS6695.1"	"OGN"	"chr9"	"osteoglycin"	"7"	1	0.987	0	0	NA
"7741"	"CCDS30735.1"	"ALG6"	"chr1"	"\asparagine-linked glycosylation 6 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)\"	"4"	1	0.987	0.072	0	NA
"7742"	"CCDS6728.1"	"NCBP1"	"chr9"	"\nuclear cap binding protein subunit 1, 80kDa\"	"7"	1	0.987	0.249	0	NA
"7743"	"CCDS1540.1"	"DEGS1"	"chr1"	"\degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)\"	"5"	1	0.987	0.0232	0	NA
"7744"	"CCDS34415.1"	"HSPA1B"	"chr6"	"heat shock 70kDa protein 1B"	"6"	1	0.987	0.0578	0	NA
"7745"	"CCDS7928.1"	"ACP2"	"chr11"	"\acid phosphatase 2, lysosomal\"	"6"	1	0.987	0.155	0	NA
"7746"	"CCDS32926.1"	"LOC90379"	"chr19"	"hypothetical protein BC002926"	"6"	1	0.987	0.195	0	NA
"7747"	"CCDS7348.1"	"VDAC2"	"chr10"	"voltage-dependent anion channel 2"	"7"	1	0.987	0	0	NA
"7748"	"CCDS1944.1"	"MRPL53"	"chr2"	"mitochondrial ribosomal protein L53"	"7"	1	0.987	0.487	0	NA
"7749"	"CCDS32205.1"	"TMEM87A"	"chr15"	"transmembrane protein 87A"	"7"	1	0.987	0.0479	0	NA
"7750"	"CCDS34462.1"	"SLC35B2"	"chr6"	"\solute carrier family 35, member B2\"	"5"	1	0.987	0.273	0	NA
"7751"	"CCDS11969.1"	"ZNF532"	"chr18"	"zinc finger protein 532"	"3"	1	0.987	0	0	NA
"7752"	"CCDS30774.1"	"EVI5"	"chr1"	"ecotropic viral integration site 5"	"4"	1	0.987	0	0	NA
"7753"	"CCDS42298.1"	"C17orf50"	"chr17"	"chromosome 17 open reading frame 50"	"4"	1	0.987	0.0407	0	NA
"7754"	"CCDS264.1"	"TMEM50A"	"chr1"	"transmembrane protein 50A"	"5"	1	0.987	0.0491	0	NA
"7755"	"CCDS455.1"	"NFYC"	"chr1"	"\nuclear transcription factor Y, gamma\"	"7"	1	0.987	0.00363	0	NA
"7756"	"CCDS12467.1"	"ATP4A"	"chr19"	"\ATPase, H+/K+ exchanging, alpha polypeptide\"	"6"	1	0.987	0.192	0	NA
"7757"	"CCDS3002.1"	"GTF2E1"	"chr3"	"\general transcription factor IIE, polypeptide 1, alpha 56kDa\"	"7"	1	0.987	0.0267	0	NA
"7758"	"CCDS2122.1"	"INSIG2"	"chr2"	"insulin induced gene 2"	"7"	1	0.987	0	0	NA
"7759"	"CCDS9636.1"	"FOXG1"	"chr14"	"forkhead box G1"	"6"	1	0.987	0	0	NA
"7760"	"CCDS4718.1"	"DDAH2"	"chr6"	"dimethylarginine dimethylaminohydrolase 2"	"6"	1	0.987	0.107	0	NA
"7761"	"CCDS43195.1"	"KIAA0226"	"chr3"	"KIAA0226"	"3"	1	0.987	0.274	0	NA
"7762"	"CCDS887.1"	"ATP1A1"	"chr1"	"\ATPase, Na+/K+ transporting, alpha 1 polypeptide\"	"6"	1	0.987	0.639	0	NA
"7763"	"CCDS5912.1"	"NOS3"	"chr7"	"nitric oxide synthase 3 (endothelial cell)"	"7"	1	0.987	0.0879	0	NA
"7764"	"CCDS706.1"	"CYR61"	"chr1"	"\cysteine-rich, angiogenic inducer, 61\"	"7"	1	0.987	0	0	NA
"7765"	"CCDS10736.1"	"CBLN1"	"chr16"	"cerebellin 1 precursor"	"7"	1	0.987	0	0	NA
"7766"	"CCDS43843.1"	"SPIN1"	"chr9"	"spindlin 1"	"4"	1	0.987	0.0535	0	NA
"7767"	"CCDS34020.1"	"PAQR3"	"chr4"	"progestin and adipoQ receptor family member III"	"7"	1	0.987	0.0174	0	NA
"7768"	"CCDS32332.1"	"MAN2A2"	"chr15"	"\mannosidase, alpha, class 2A, member 2\"	"6"	1	0.987	0.0747	0	NA
"7769"	"CCDS7666.1"	"STK32C"	"chr10"	"serine/threonine kinase 32C"	"7"	1	0.987	0	0	NA
"7770"	"CCDS10546.1"	"SOCS1"	"chr16"	"suppressor of cytokine signaling 1"	"4"	1	0.987	0.0769	0	NA
"7771"	"CCDS9757.1"	"RHOJ"	"chr14"	"\ras homolog gene family, member J\"	"7"	1	0.987	NA	0	NA
"7772"	"CCDS43572.1"	"URG4"	"chr7"	"up-regulated gene 4"	"4"	1	0.987	0.0531	0	NA
"7773"	"CCDS1920.1"	"SPR"	"chr2"	"\sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)\"	"7"	1	0.987	0.0438	0	NA
